group,names,scores,logfoldchanges,pvals,pvals_adj
43,Msi2,122.1659,3.2878535,0.0,0.0
32,Egfl7,121.67475,8.675408,0.0,0.0
32,Flt1,121.612854,11.626582,0.0,0.0
23,Tmem131l,121.11449,2.7670894,0.0,0.0
45,Cped1,120.952515,8.566719,0.0,0.0
45,Dcn,120.77683,8.218137,0.0,0.0
32,Esam,120.751205,8.441975,0.0,0.0
40,Rfx3,120.28372,3.4975543,0.0,0.0
30,Trpc4,120.07863,3.6263185,0.0,0.0
30,Nr3c2,120.01241,3.3345041,0.0,0.0
40,C1ql2,119.97901,7.6072154,0.0,0.0
40,Pitpnm2,119.883644,3.1366682,0.0,0.0
45,Apod,119.72443,5.251838,0.0,0.0
32,Adgrl4,119.70692,11.3610325,0.0,0.0
30,Grin2a,118.97046,2.949579,0.0,0.0
40,Slit1,118.84435,3.9911253,0.0,0.0
40,Ccdc85a,118.82409,3.417431,0.0,0.0
30,Ptk2b,118.777245,3.154557,0.0,0.0
40,Glis3,118.776665,5.649014,0.0,0.0
40,Cpne6,118.75248,4.0373774,0.0,0.0
45,Nid1,118.40429,5.934789,0.0,0.0
40,Lrrtm4,118.25555,3.537345,0.0,0.0
40,Crlf1,118.153046,5.9439697,0.0,0.0
45,Bmp7,117.96747,6.139965,0.0,0.0
19,Grin2d,117.88927,2.749643,0.0,0.0
27,Slc6a1,117.86568,3.5836515,0.0,0.0
45,Nbl1,117.835526,5.2813416,0.0,0.0
23,Auts2,117.826515,1.852479,0.0,0.0
30,Icam5,117.82252,3.3436337,0.0,0.0
30,Khdrbs3,117.751,2.9017363,0.0,0.0
45,Igfbp2,117.6129,5.122458,0.0,0.0
19,Sorcs2,117.49429,2.6533067,0.0,0.0
40,Icam5,117.40308,3.9172847,0.0,0.0
43,Spon1,117.39058,4.5669866,0.0,0.0
40,Rogdi,117.35347,2.805621,0.0,0.0
32,Pltp,117.19357,8.246068,0.0,0.0
32,Adgrf5,117.03292,9.427694,0.0,0.0
30,Zbtb16,116.854324,3.223898,0.0,0.0
19,Lef1,116.79389,5.001859,0.0,0.0
40,Grin2a,116.49661,3.22348,0.0,0.0
43,Nxph1,116.43776,5.0574937,0.0,0.0
40,Ptk2b,116.01008,3.5882497,0.0,0.0
40,Itga8,115.93598,4.6335087,0.0,0.0
23,Meis2,115.82658,3.4490714,0.0,0.0
43,Pcbp3,115.82279,3.8735394,0.0,0.0
30,Raver2,115.645096,3.9277081,0.0,0.0
27,Cpne7,115.64424,4.341466,0.0,0.0
30,Camkv,115.46147,2.6812403,0.0,0.0
40,Olfm1,114.99244,2.6088572,0.0,0.0
30,Kcnn2,114.92453,2.9379025,0.0,0.0
40,Dgkh,114.745865,3.3261569,0.0,0.0
30,Plekhg5,114.73691,3.0872111,0.0,0.0
10,Zic1,114.40093,3.7805815,0.0,0.0
32,Itm2a,114.078606,7.3874874,0.0,0.0
19,Uchl1,113.91342,1.8470895,0.0,0.0
40,Camk2a,113.87847,3.3712745,0.0,0.0
19,Nell1,113.85872,3.1213312,0.0,0.0
40,Btbd9,113.39671,2.8272476,0.0,0.0
23,Islr2,112.708786,3.575216,0.0,0.0
19,Shisal1,112.26851,3.2470727,0.0,0.0
32,Eng,112.21048,7.8024826,0.0,0.0
19,Ptpn3,112.15317,3.5452666,0.0,0.0
32,Pecam1,112.14525,8.422406,0.0,0.0
19,Ccdc136,112.08973,2.563133,0.0,0.0
32,Abcb1a,111.641945,10.271959,0.0,0.0
32,Ptprb,111.56511,9.400491,0.0,0.0
32,Fn1,111.370544,7.0215216,0.0,0.0
32,Slc2a1,111.36155,6.596526,0.0,0.0
43,Zeb2,111.108086,3.318974,0.0,0.0
39,Csf1r,111.03425,6.4950037,0.0,0.0
32,Ramp2,110.86128,6.7007656,0.0,0.0
23,Ccdc88a,110.75032,1.8448879,0.0,0.0
19,Vangl1,110.49292,4.090879,0.0,0.0
19,Slc6a7,110.319626,2.419724,0.0,0.0
23,Dclk2,108.847015,1.9718717,0.0,0.0
23,Cd24a,108.72597,2.51897,0.0,0.0
32,Ccdc141,108.65639,7.0229664,0.0,0.0
27,Gad1,108.63605,3.164393,0.0,0.0
43,Synpr,108.57204,3.8506987,0.0,0.0
39,Laptm5,108.51767,5.646509,0.0,0.0
27,Vstm2a,108.51573,3.1087592,0.0,0.0
27,Dner,108.49426,2.8198786,0.0,0.0
23,Gad2,108.39582,2.809353,0.0,0.0
27,Kcnn2,108.35833,3.1023784,0.0,0.0
39,C1qa,108.324326,6.166889,0.0,0.0
32,Vwa1,108.18746,6.2822585,0.0,0.0
43,Nrsn1,107.989494,4.852006,0.0,0.0
39,Serinc3,107.89757,3.0189695,0.0,0.0
39,Ctss,107.76588,5.967348,0.0,0.0
43,Pde5a,107.76224,5.704728,0.0,0.0
43,Cyth1,107.57031,2.8869946,0.0,0.0
39,C1qb,107.0908,5.9783936,0.0,0.0
32,Eogt,106.940704,5.5607595,0.0,0.0
32,Bsg,106.79828,3.8920681,0.0,0.0
32,Tek,106.56538,10.744061,0.0,0.0
36,Kcnn2,106.27032,3.651281,0.0,0.0
43,Calb2,105.917946,4.5785894,0.0,0.0
43,Grin2d,105.76373,4.1608696,0.0,0.0
43,Magi1,105.71004,2.526295,0.0,0.0
39,Unc93b1,105.09641,5.209033,0.0,0.0
27,Gad2,104.63203,3.1933048,0.0,0.0
27,Grin2d,104.11262,2.9371002,0.0,0.0
43,Gria1,104.10625,3.1137505,0.0,0.0
23,Ncam1,102.924225,1.4420414,0.0,0.0
23,Tubb2b,102.77727,2.6548615,0.0,0.0
36,Fezf2,102.327034,4.9699693,0.0,0.0
39,Cyth4,101.91834,5.24016,0.0,0.0
42,Kit,101.87365,6.152596,0.0,0.0
43,Asic1,101.65137,3.455988,0.0,0.0
39,Fcrls,101.55132,5.6850696,0.0,0.0
27,Zfp536,101.21846,2.8980715,0.0,0.0
23,Ptprs,101.128555,1.3779918,0.0,0.0
23,Foxg1,100.8558,2.2447138,0.0,0.0
10,Pax6,100.574196,4.2852526,0.0,0.0
39,Cfh,100.43057,5.150653,0.0,0.0
43,Adcyap1r1,100.37108,2.654189,0.0,0.0
37,Ndnf,100.32632,7.9242024,0.0,0.0
23,Dlx2,100.30642,4.2040515,0.0,0.0
23,Dlgap4,100.075485,1.5148666,0.0,0.0
13,Tshz2,99.7321,4.874512,0.0,0.0
27,Rab3c,99.52533,2.153191,0.0,0.0
36,Lamp5,99.39646,4.150198,0.0,0.0
27,Clstn3,99.086395,2.0703406,0.0,0.0
10,Zic2,99.02847,3.3059099,0.0,0.0
43,Nectin3,98.8236,3.4817145,0.0,0.0
39,Hpgds,98.820435,5.1747675,0.0,0.0
36,Coro6,98.490234,4.482255,0.0,0.0
36,Sstr4,98.31954,4.0034337,0.0,0.0
39,Tyrobp,98.2688,5.355292,0.0,0.0
39,Pld4,98.2262,5.3091516,0.0,0.0
37,Ccdc85a,98.05023,4.061964,0.0,0.0
39,Selenop,97.94217,4.4763947,0.0,0.0
27,Adra1a,97.742645,3.7027295,0.0,0.0
27,Snhg11,97.702324,2.8987393,0.0,0.0
39,Cst3,97.60681,3.298601,0.0,0.0
39,Adap2,97.58991,4.9399943,0.0,0.0
10,Chd7,97.585205,3.058427,0.0,0.0
27,Tcf4,97.38521,1.9468036,0.0,0.0
42,Cdh22,96.97939,4.8446965,0.0,0.0
13,Dkk3,96.874954,4.5092,0.0,0.0
27,Slc24a3,96.830215,2.540401,0.0,0.0
27,Ptprn,96.73328,2.171257,0.0,0.0
46,Pdgfrb,96.596146,9.645093,0.0,0.0
46,Igfbp7,96.549644,8.618043,0.0,0.0
43,Sp8,96.48618,5.4491453,0.0,0.0
42,Eml5,96.39953,3.8998055,0.0,0.0
46,Vtn,96.305176,10.70541,0.0,0.0
43,Kcnip2,96.27875,4.0744686,0.0,0.0
43,Serpine2,96.2452,4.123603,0.0,0.0
42,Adgrb1,96.03625,3.0930188,0.0,0.0
37,Kcnip2,95.95908,5.2448807,0.0,0.0
43,Grip1,95.68152,3.5861428,0.0,0.0
37,Meis2,95.256096,4.487266,0.0,0.0
39,Vsir,95.07232,4.9864917,0.0,0.0
46,Itga1,94.78334,9.312966,0.0,0.0
13,Zbtb16,94.77167,3.7538445,0.0,0.0
13,Cck,94.73232,4.090277,0.0,0.0
39,Slco2b1,94.67606,4.831475,0.0,0.0
