group,names,scores,logfoldchanges,pvals,pvals_adj
11,Epb42,130.14719,9.13983,0.0,0.0
40,Tmprss2,129.84377,4.716084,0.0,0.0
20,Gcgr,129.74664,7.2718277,0.0,0.0
40,Gulo,129.74623,5.0041723,0.0,0.0
26,Pcdh7,129.68704,4.5701923,0.0,0.0
2,Igf2bp1,129.32393,3.4631598,0.0,0.0
26,Col3a1,129.03076,3.234433,0.0,0.0
40,Nfatc1,128.85597,4.849766,0.0,0.0
26,Gpc3,128.68584,4.267153,0.0,0.0
26,Rbms3,128.39821,4.4996786,0.0,0.0
13,Map1b,128.29118,3.3133194,0.0,0.0
40,Snx2,128.0719,2.757728,0.0,0.0
10,Ctsj,127.995224,3.4060864,0.0,0.0
4,Prl7d1,127.77558,2.7091777,0.0,0.0
40,Tut4,127.42025,3.0399632,0.0,0.0
40,Grsf1,127.19043,3.3484056,0.0,0.0
4,Hbb-y,127.13988,3.3154352,0.0,0.0
24,Maged2,126.03684,4.826879,0.0,0.0
4,Srgn,125.84005,2.2358415,0.0,0.0
10,Tpbpa,125.829384,2.5665257,0.0,0.0
20,Slc13a4,125.40308,6.083905,0.0,0.0
10,Prl8a9,125.371346,3.26472,0.0,0.0
4,Mt2,125.13681,2.255004,0.0,0.0
4,Prl3b1,124.921005,1.7785186,0.0,0.0
4,Hba-x,124.89629,3.3248856,0.0,0.0
13,Pwwp3b,124.782455,4.225562,0.0,0.0
33,Lamc1,124.76312,3.3816152,0.0,0.0
27,Mylk,124.713356,4.7013445,0.0,0.0
24,Magel2,124.62109,7.937087,0.0,0.0
10,Creg1,124.57047,3.4263866,0.0,0.0
15,Car4,124.5451,5.250968,0.0,0.0
15,Caskin1,124.49105,6.0142946,0.0,0.0
22,Ctss,124.31045,7.2261376,0.0,0.0
4,Gzmd,123.90899,2.9715734,0.0,0.0
10,Hba-a2,123.49726,3.7222235,0.0,0.0
16,Egfl7,123.34875,5.405235,0.0,0.0
10,Psg21,123.051735,4.2648597,0.0,0.0
27,Tbx2,123.0218,5.6462417,0.0,0.0
33,Lamb1,122.71577,4.336064,0.0,0.0
10,Prl2b1,122.65931,3.2106512,0.0,0.0
4,Gpx3,122.62755,2.0051668,0.0,0.0
20,Vegfa,122.25184,3.7973092,0.0,0.0
2,Plec,122.11176,2.7932189,0.0,0.0
20,Slc1a5,121.78897,4.404136,0.0,0.0
2,Sdc1,121.6985,3.9295626,0.0,0.0
13,Dsp,121.58447,2.597367,0.0,0.0
10,Ctsq,121.34026,4.330244,0.0,0.0
11,Ache,121.25291,5.2787237,0.0,0.0
11,Ypel4,121.21974,7.377898,0.0,0.0
27,Ppp1r14a,121.21597,5.454872,0.0,0.0
24,Mest,121.096695,4.9655533,0.0,0.0
33,Col4a2,121.02385,3.3580503,0.0,0.0
11,Ppox,121.02094,3.5360322,0.0,0.0
10,Ceacam11,120.42931,3.9337204,0.0,0.0
2,Odc1,120.12603,3.0944777,0.0,0.0
34,Cacna1d,120.101425,6.2776566,0.0,0.0
24,Tro,119.87249,5.9097877,0.0,0.0
2,Tpm2,119.64295,3.1975043,0.0,0.0
13,Dst,119.60405,2.1645577,0.0,0.0
34,Sfi1,119.38201,2.8190026,0.0,0.0
11,Slc30a10,119.37154,8.6034355,0.0,0.0
11,Pkhd1l1,119.26565,8.808381,0.0,0.0
4,Gzmg,119.152115,2.9710333,0.0,0.0
27,Notch3,119.121155,7.7721696,0.0,0.0
13,Exoc3l4,119.10931,3.6865556,0.0,0.0
27,Gucy1a1,119.0684,5.9387107,0.0,0.0
11,Sptb,119.01603,8.000496,0.0,0.0
2,Prkch,118.70721,3.416046,0.0,0.0
27,Plagl1,118.68746,4.0332136,0.0,0.0
26,Igf2,118.672806,1.8029206,0.0,0.0
13,Cited1,118.647705,2.838316,0.0,0.0
34,Col4a1,118.556755,2.7555401,0.0,0.0
4,Krt8,118.55237,2.195008,0.0,0.0
27,Tbx5,118.5479,8.475495,0.0,0.0
4,Prl8a2,118.39008,2.6106017,0.0,0.0
2,Alpl,118.14716,3.6843705,0.0,0.0
4,Tfpi,118.03842,2.3124,0.0,0.0
33,Serpinh1,117.996376,2.5684423,0.0,0.0
10,Hbb-bs,117.73413,4.0319424,0.0,0.0
11,Dmtn,117.70524,6.4259505,0.0,0.0
34,Ints6l,117.66761,4.1461024,0.0,0.0
27,Gnas,117.41579,3.005748,0.0,0.0
10,Prl8a6,117.12349,4.455832,0.0,0.0
20,Car4,117.07974,3.839423,0.0,0.0
11,Epor,117.02971,5.4774013,0.0,0.0
4,Sparc,116.918175,1.7806603,0.0,0.0
13,Caskin1,116.816986,3.1199927,0.0,0.0
24,Egfl7,116.79769,5.030874,0.0,0.0
13,Cts6,116.68038,3.8937094,0.0,0.0
20,Gjb2,116.48689,3.5293286,0.0,0.0
27,Pakap,116.47098,5.348173,0.0,0.0
11,Hbb-bh1,116.3895,4.485758,0.0,0.0
10,Tpbpb,115.94729,3.5367773,0.0,0.0
13,Pkp2,115.805916,2.7589648,0.0,0.0
10,Psg23,115.29396,4.04866,0.0,0.0
34,Adamts9,115.23903,4.2731447,0.0,0.0
15,Plekhd1,115.18069,5.8279767,0.0,0.0
24,Dlk1,114.87018,4.7210464,0.0,0.0
2,Clip2,114.64335,3.0268288,0.0,0.0
27,Col5a1,114.43027,3.821962,0.0,0.0
26,Dlk1,114.42833,3.0316174,0.0,0.0
13,Shroom4,114.40654,2.9483888,0.0,0.0
22,Ifi207,114.221825,6.050503,0.0,0.0
2,Sfmbt2,114.21365,3.248556,0.0,0.0
10,Prl8a8,113.93598,3.9454958,0.0,0.0
34,Tcf7l2,113.86285,3.9701295,0.0,0.0
13,Adgrf5,113.78775,2.6145444,0.0,0.0
10,Ceacam12,113.78121,3.8165712,0.0,0.0
2,Brd3,113.70664,2.9336295,0.0,0.0
15,Slco4a1,113.65875,4.963887,0.0,0.0
15,Tulp1,113.57243,5.727598,0.0,0.0
22,Cyth4,113.40027,6.0682955,0.0,0.0
27,Rbms3,113.281105,4.755496,0.0,0.0
33,Tcf7l2,113.2384,4.073342,0.0,0.0
20,Abcb1b,113.197784,5.7733955,0.0,0.0
13,Rhox6,113.17062,2.1783178,0.0,0.0
2,N4bp2,113.02209,3.0433545,0.0,0.0
34,Ext1,112.94815,3.3564723,0.0,0.0
10,Ceacam14,112.62653,3.5898254,0.0,0.0
2,Las1l,112.46274,2.912783,0.0,0.0
10,Psg16,112.401436,4.131453,0.0,0.0
34,Prkaa2,112.343765,5.4266844,0.0,0.0
13,Nup62cl,112.26234,2.7323775,0.0,0.0
20,Slc4a2,112.22408,3.7065148,0.0,0.0
15,Snap91,112.13974,5.428058,0.0,0.0
10,Psg27,111.92347,3.4028914,0.0,0.0
27,Rasgrp2,111.87679,4.945171,0.0,0.0
13,Bbx,111.85644,2.1948707,0.0,0.0
15,Bin2,111.80607,3.9739401,0.0,0.0
33,Gata4,111.712234,5.5661354,0.0,0.0
15,Tfrc,111.695335,4.1951847,0.0,0.0
2,Gale,111.68018,3.2120388,0.0,0.0
15,Amot,111.330215,4.296305,0.0,0.0
2,Homer2,111.122635,4.78486,0.0,0.0
2,Mfsd2a,111.038216,5.0094566,0.0,0.0
13,Plec,111.01149,2.0252104,0.0,0.0
4,Eef1a1,110.99971,1.5846905,0.0,0.0
10,Cts6,110.96382,4.2105374,0.0,0.0
2,Mta3,110.94684,2.4140677,0.0,0.0
15,Lonrf3,110.92422,5.228203,0.0,0.0
15,Syna,110.876854,6.584277,0.0,0.0
24,Arhgef15,110.66741,5.232689,0.0,0.0
22,Arrb2,110.59854,4.285779,0.0,0.0
34,Rap1gap,110.482185,4.3551984,0.0,0.0
4,Sct,110.463455,2.088789,0.0,0.0
2,Dock7,110.45016,2.9121377,0.0,0.0
26,Hoxc6,110.43855,5.1548223,0.0,0.0
15,Cds1,110.36281,4.557731,0.0,0.0
15,Tfeb,110.34472,4.6361217,0.0,0.0
35,Prap1,110.33004,6.966325,0.0,0.0
34,Lamc1,110.3092,2.739213,0.0,0.0
15,Gjb2,110.27396,3.715341,0.0,0.0
26,Tbx20,110.245346,5.7725806,0.0,0.0
2,Sin3b,110.20437,2.0507445,0.0,0.0
15,Atp11a,110.162384,2.6938622,0.0,0.0
2,Caskin1,110.08583,3.387295,0.0,0.0
33,Dab2,110.07288,3.9159038,0.0,0.0
20,Cnpy1,109.90631,6.3244348,0.0,0.0
15,Aqp3,109.870316,4.7604947,0.0,0.0
20,Synb,109.86316,6.8314877,0.0,0.0
26,Auts2,109.51075,2.95081,0.0,0.0
22,Fyb,109.40959,5.352889,0.0,0.0
34,Msi2,109.29323,2.500435,0.0,0.0
27,Arhgap42,109.21525,3.2596025,0.0,0.0
34,Aqp8,108.99365,4.6788793,0.0,0.0
16,Ldb2,108.70923,4.875726,0.0,0.0
15,Sin3b,108.69047,2.5116827,0.0,0.0
15,Plxnb1,108.56578,4.1696243,0.0,0.0
34,Lamb1,108.338135,3.7668178,0.0,0.0
24,Cd34,108.02441,4.3752856,0.0,0.0
16,Pecam1,107.80622,3.9072077,0.0,0.0
26,Flna,107.58817,2.2038689,0.0,0.0
22,Pik3ap1,107.392746,5.0082893,0.0,0.0
15,Septin4,107.38649,4.3827496,0.0,0.0
34,Hs3st1,107.278435,4.204158,0.0,0.0
34,Tram2,107.262955,3.2685742,0.0,0.0
20,Myl4,107.261505,5.158209,0.0,0.0
26,Pitx2,107.22834,4.9312763,0.0,0.0
15,Slc22a23,107.22562,4.466214,0.0,0.0
33,Tedc2,107.07812,3.468182,0.0,0.0
22,Arhgap45,107.024734,4.267858,0.0,0.0
4,Gzmc,106.80795,2.7774053,0.0,0.0
33,Sparc,106.04883,1.8952281,0.0,0.0
27,Zeb2,105.97805,3.3021955,0.0,0.0
27,Itga1,105.64647,3.2032692,0.0,0.0
16,Fli1,105.39773,4.485216,0.0,0.0
34,Pga5,105.384636,6.626816,0.0,0.0
27,Pdgfrb,105.3245,4.8600054,0.0,0.0
24,Tie1,105.057594,4.3929663,0.0,0.0
33,Ints6l,104.94492,3.6278813,0.0,0.0
24,Igf2,104.84899,2.4951196,0.0,0.0
22,Pld4,104.61268,8.316212,0.0,0.0
24,Arap3,104.56822,4.2084994,0.0,0.0
16,Esam,104.219955,3.3422985,0.0,0.0
9,Ctla2a,104.103935,3.067343,0.0,0.0
24,Acvrl1,103.96614,3.6295083,0.0,0.0
35,Bcat1,103.75294,5.671567,0.0,0.0
24,Pecam1,103.74464,3.720936,0.0,0.0
22,Oas2,103.74024,4.789686,0.0,0.0
22,Unc93b1,103.53029,4.674545,0.0,0.0
34,Appl2,103.41534,2.387257,0.0,0.0
